ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 11351,0,0,0,0,,,
ZCTA5 11354,53684,8153,4360,8109,15.2,8.1,15.1
ZCTA5 11355,80987,12309,5948,13058,15.2,7.3,16.1
ZCTA5 11356,23494,3407,1280,3243,14.5,5.4,13.8
ZCTA5 11357,39407,4226,2788,5768,10.7,7.1,14.6
ZCTA5 11358,36515,5039,2739,5399,13.8,7.5,14.8
ZCTA5 11359,0,0,0,0,,,
ZCTA5 11360,18954,2019,1263,2550,10.7,6.7,13.5
ZCTA5 11361,27201,4012,2144,3878,14.7,7.9,14.3
ZCTA5 11362,18343,1666,1647,2496,9.1,9.0,13.6
ZCTA5 11363,7096,805,682,1023,11.3,9.6,14.4
ZCTA5 11364,36215,4042,3055,5396,11.2,8.4,14.9
ZCTA5 11365,44738,6044,3433,6448,13.5,7.7,14.4
ZCTA5 11366,14360,1693,973,1883,11.8,6.8,13.1
ZCTA5 11367,41207,5804,2582,4267,14.1,6.3,10.4
ZCTA5 11368,112088,20276,5156,13408,18.1,4.6,12.0
ZCTA5 11369,31481,4536,1908,4365,14.4,6.1,13.9
ZCTA5 11370,31580,5651,1968,4807,17.9,6.2,15.2
ZCTA5 11371,0,0,0,0,,,
ZCTA5 11372,62854,9916,4169,9496,15.8,6.6,15.1
ZCTA5 11373,94437,16681,6095,12740,17.7,6.5,13.5
ZCTA5 11374,43507,7896,3530,5310,18.1,8.1,12.2
ZCTA5 11375,73034,10953,5300,9424,15.0,7.3,12.9
ZCTA5 11377,83825,13346,5387,11435,15.9,6.4,13.6
ZCTA5 11378,38524,5501,2743,5598,14.3,7.1,14.5
ZCTA5 11379,37991,4998,2904,6033,13.2,7.6,15.9
ZCTA5 11385,107796,19588,6545,14852,18.2,6.1,13.8
ZCTA5 11411,20719,2840,1864,3024,13.7,9.0,14.6
ZCTA5 11412,37857,5105,3539,5568,13.5,9.3,14.7
ZCTA5 11413,41650,5820,2986,5915,14.0,7.2,14.2
ZCTA5 11414,28313,2809,2470,3692,9.9,8.7,13.0
ZCTA5 11415,18891,3092,1254,2631,16.4,6.6,13.9
ZCTA5 11416,26744,4110,1762,4017,15.4,6.6,15.0
ZCTA5 11417,31321,4541,2393,4798,14.5,7.6,15.3
ZCTA5 11418,38405,5973,2261,5305,15.6,5.9,13.8
ZCTA5 11419,48369,7923,3794,7593,16.4,7.8,15.7
ZCTA5 11420,47470,7433,4227,7279,15.7,8.9,15.3
ZCTA5 11421,41251,6235,2843,5924,15.1,6.9,14.4
ZCTA5 11422,32761,4833,2529,5140,14.8,7.7,15.7
ZCTA5 11423,30104,4276,2311,4279,14.2,7.7,14.2
ZCTA5 11424,0,0,0,0,,,
ZCTA5 11425,0,0,0,0,,,
ZCTA5 11426,20524,3322,1390,2654,16.2,6.8,12.9
ZCTA5 11427,24560,3116,1804,3535,12.7,7.3,14.4
ZCTA5 11428,18836,2719,1405,2797,14.4,7.5,14.8
ZCTA5 11429,27454,4116,1928,4179,15.0,7.0,15.2
ZCTA5 11430,206,32,16,72,15.5,7.8,35.0
ZCTA5 11432,64299,9117,4345,7697,14.2,6.8,12.0
ZCTA5 11433,37021,5799,2413,4750,15.7,6.5,12.8
ZCTA5 11434,64304,9254,4233,8908,14.4,6.6,13.9
ZCTA5 11435,59605,11524,3910,7517,19.3,6.6,12.6
ZCTA5 11436,19167,2849,1276,2900,14.9,6.7,15.1
ZCTA5 11451,0,0,0,0,,,
ZCTA5 11501,19621,3302,1472,2748,16.8,7.5,14.0
ZCTA5 11507,7225,579,636,881,8.0,8.8,12.2
ZCTA5 11509,1920,120,263,309,6.2,13.7,16.1
ZCTA5 11510,33299,3763,2516,5651,11.3,7.6,17.0
ZCTA5 11514,4694,642,390,492,13.7,8.3,10.5
ZCTA5 11516,7372,674,457,576,9.1,6.2,7.8
ZCTA5 11518,9969,1399,838,1562,14.0,8.4,15.7
ZCTA5 11520,43438,5616,2871,5820,12.9,6.6,13.4
ZCTA5 11530,28460,2070,2310,4208,7.3,8.1,14.8
ZCTA5 11542,27893,3329,1823,3689,11.9,6.5,13.2
ZCTA5 11545,12604,1109,1231,2091,8.8,9.8,16.6
ZCTA5 11547,681,31,85,129,4.6,12.5,18.9
ZCTA5 11548,2922,507,162,184,17.4,5.5,6.3
ZCTA5 11549,2803,10,0,0,0.4,0.0,0.0
ZCTA5 11550,57639,8600,3167,7141,14.9,5.5,12.4
ZCTA5 11552,24908,3009,1901,3740,12.1,7.6,15.0
ZCTA5 11553,26054,3511,1591,3131,13.5,6.1,12.0
ZCTA5 11554,38029,4960,2600,4630,13.0,6.8,12.2
ZCTA5 11556,0,0,0,0,,,
ZCTA5 11557,7878,806,658,1025,10.2,8.4,13.0
ZCTA5 11558,8465,1314,546,1210,15.5,6.5,14.3
ZCTA5 11559,8192,703,246,966,8.6,3.0,11.8
ZCTA5 11560,6669,564,537,1069,8.5,8.1,16.0
ZCTA5 11561,37726,5643,3397,5661,15.0,9.0,15.0
ZCTA5 11563,21919,2853,1873,2827,13.0,8.5,12.9
ZCTA5 11565,8560,843,693,1095,9.8,8.1,12.8
ZCTA5 11566,33331,3247,2704,5219,9.7,8.1,15.7
ZCTA5 11568,4548,226,284,535,5.0,6.2,11.8
ZCTA5 11569,1117,70,167,132,6.3,15.0,11.8
ZCTA5 11570,27234,2892,1553,4245,10.6,5.7,15.6
ZCTA5 11572,29243,3219,2587,4100,11.0,8.8,14.0
ZCTA5 11575,17180,3139,793,2566,18.3,4.6,14.9
ZCTA5 11576,12374,935,998,1864,7.6,8.1,15.1
ZCTA5 11577,12513,1056,885,1960,8.4,7.1,15.7
ZCTA5 11579,5214,361,416,760,6.9,8.0,14.6
ZCTA5 11580,42990,5909,3204,6753,13.7,7.5,15.7
ZCTA5 11581,21794,2850,1609,2714,13.1,7.4,12.5
ZCTA5 11590,47245,6477,3214,5687,13.7,6.8,12.0
ZCTA5 11596,10347,890,777,1512,8.6,7.5,14.6
ZCTA5 11598,14066,1657,866,1217,11.8,6.2,8.7
ZCTA5 11691,68543,9717,4093,7370,14.2,6.0,10.8
ZCTA5 11692,22074,2917,1577,2830,13.2,7.1,12.8
ZCTA5 11693,12944,1619,1014,2061,12.5,7.8,15.9
ZCTA5 11694,21202,2321,2052,3454,10.9,9.7,16.3
ZCTA5 11697,3674,326,330,395,8.9,9.0,10.8
ZCTA5 11701,28363,3892,1731,4358,13.7,6.1,15.4
ZCTA5 11702,14127,2318,972,2152,16.4,6.9,15.2
ZCTA5 11703,16119,1967,1161,2594,12.2,7.2,16.1
ZCTA5 11704,39981,5896,3030,5764,14.7,7.6,14.4
ZCTA5 11705,7721,806,690,1232,10.4,8.9,16.0
ZCTA5 11706,68401,8919,4981,9312,13.0,7.3,13.6
ZCTA5 11709,6735,535,561,1119,7.9,8.3,16.6
ZCTA5 11710,34634,3993,2898,5407,11.5,8.4,15.6
ZCTA5 11713,9295,1297,808,1265,14.0,8.7,13.6
ZCTA5 11714,22741,2436,1511,3315,10.7,6.6,14.6
ZCTA5 11715,4583,432,327,737,9.4,7.1,16.1
ZCTA5 11716,9781,1080,646,1342,11.0,6.6,13.7
ZCTA5 11717,63492,9980,3713,8514,15.7,5.8,13.4
ZCTA5 11718,3075,263,253,447,8.6,8.2,14.5
ZCTA5 11719,3447,226,308,567,6.6,8.9,16.4
ZCTA5 11720,28454,3942,1894,4412,13.9,6.7,15.5
ZCTA5 11721,6288,352,582,1159,5.6,9.3,18.4
ZCTA5 11722,31878,4235,2272,4167,13.3,7.1,13.1
ZCTA5 11724,3175,349,231,496,11.0,7.3,15.6
ZCTA5 11725,29396,2798,2719,5013,9.5,9.2,17.1
ZCTA5 11726,19481,2576,1405,2490,13.2,7.2,12.8
ZCTA5 11727,29736,4081,2210,5035,13.7,7.4,16.9
ZCTA5 11729,27252,3507,1957,4330,12.9,7.2,15.9
ZCTA5 11730,13663,1565,1056,2192,11.5,7.7,16.0
ZCTA5 11731,30436,2853,2706,5070,9.4,8.9,16.7
ZCTA5 11732,3751,411,233,550,11.0,6.2,14.7
ZCTA5 11733,16363,1195,1296,2802,7.3,7.9,17.1
ZCTA5 11735,33893,4588,2740,5003,13.5,8.1,14.8
ZCTA5 11738,17972,2523,1453,3098,14.0,8.1,17.2
ZCTA5 11739,916,69,82,217,7.5,9.0,23.7
ZCTA5 11740,9693,834,532,1652,8.6,5.5,17.0
ZCTA5 11741,26651,3480,2084,4080,13.1,7.8,15.3
ZCTA5 11742,12438,1362,930,2250,11.0,7.5,18.1
ZCTA5 11743,41878,3616,4071,6965,8.6,9.7,16.6
ZCTA5 11746,67863,7690,5156,10118,11.3,7.6,14.9
ZCTA5 11747,18288,1266,1149,3058,6.9,6.3,16.7
ZCTA5 11749,3341,508,286,494,15.2,8.6,14.8
ZCTA5 11751,14314,1940,1043,2309,13.6,7.3,16.1
ZCTA5 11752,9656,812,942,1700,8.4,9.8,17.6
ZCTA5 11753,12857,1166,1254,2298,9.1,9.8,17.9
ZCTA5 11754,17946,1796,1317,2723,10.0,7.3,15.2
ZCTA5 11755,12598,1398,892,1879,11.1,7.1,14.9
ZCTA5 11756,43446,5068,3417,6712,11.7,7.9,15.4
ZCTA5 11757,44368,6526,3243,7462,14.7,7.3,16.8
ZCTA5 11758,52783,5904,4035,8251,11.2,7.6,15.6
ZCTA5 11762,22358,2088,1604,3493,9.3,7.2,15.6
ZCTA5 11763,28579,3956,1978,4528,13.8,6.9,15.8
ZCTA5 11764,12981,1050,1004,2207,8.1,7.7,17.0
ZCTA5 11765,782,27,31,133,3.5,4.0,17.0
ZCTA5 11766,11720,830,755,1674,7.1,6.4,14.3
ZCTA5 11767,14952,1034,1188,2790,6.9,7.9,18.7
ZCTA5 11768,21113,1280,2006,3435,6.1,9.5,16.3
ZCTA5 11769,8340,875,704,1322,10.5,8.4,15.9
ZCTA5 11770,56,5,10,6,8.9,17.9,10.7
ZCTA5 11771,9150,894,843,1411,9.8,9.2,15.4
ZCTA5 11772,45991,6263,2806,6722,13.6,6.1,14.6
ZCTA5 11776,24950,2892,1885,3586,11.6,7.6,14.4
ZCTA5 11777,9007,1066,733,1345,11.8,8.1,14.9
ZCTA5 11778,12081,1414,848,1804,11.7,7.0,14.9
ZCTA5 11779,37837,5008,2431,6062,13.2,6.4,16.0
ZCTA5 11780,16099,1305,1246,3074,8.1,7.7,19.1
ZCTA5 11782,14965,1343,1077,2405,9.0,7.2,16.1
ZCTA5 11783,21280,2456,1590,3220,11.5,7.5,15.1
ZCTA5 11784,25337,3526,1732,3863,13.9,6.8,15.2
ZCTA5 11786,6359,627,580,955,9.9,9.1,15.0
ZCTA5 11787,34376,3318,2730,5935,9.7,7.9,17.3
ZCTA5 11788,16583,1956,1376,2719,11.8,8.3,16.4
ZCTA5 11789,8301,895,649,1309,10.8,7.8,15.8
ZCTA5 11790,17304,1342,889,1998,7.8,5.1,11.5
ZCTA5 11791,26135,1700,1667,4550,6.5,6.4,17.4
ZCTA5 11792,7853,944,671,1023,12.0,8.5,13.0
ZCTA5 11793,30643,3201,2535,4280,10.4,8.3,14.0
ZCTA5 11794,3024,103,0,0,3.4,0.0,0.0
ZCTA5 11795,24775,2683,2450,3954,10.8,9.9,16.0
ZCTA5 11796,4160,266,343,696,6.4,8.2,16.7
ZCTA5 11797,8962,754,742,1284,8.4,8.3,14.3
ZCTA5 11798,14864,2080,851,2141,14.0,5.7,14.4
ZCTA5 11801,40288,5183,3856,5178,12.9,9.6,12.9
ZCTA5 11803,28520,2570,2312,4096,9.0,8.1,14.4
ZCTA5 11804,4671,401,440,702,8.6,9.4,15.0
ZCTA5 11901,28387,3949,1945,3435,13.9,6.9,12.1
ZCTA5 11930,882,75,81,116,8.5,9.2,13.2
ZCTA5 11931,39,10,0,0,25.6,0.0,0.0
ZCTA5 11932,1120,102,43,175,9.1,3.8,15.6
ZCTA5 11933,7342,825,712,1048,11.2,9.7,14.3
ZCTA5 11934,7584,492,703,1002,6.5,9.3,13.2
ZCTA5 11935,3160,194,250,547,6.1,7.9,17.3
ZCTA5 11937,16137,1812,1516,2081,11.2,9.4,12.9
ZCTA5 11939,999,41,73,119,4.1,7.3,11.9
ZCTA5 11940,5532,491,401,932,8.9,7.2,16.8
ZCTA5 11941,1797,185,54,333,10.3,3.0,18.5
ZCTA5 11942,5174,348,348,950,6.7,6.7,18.4
ZCTA5 11944,4287,463,310,514,10.8,7.2,12.0
ZCTA5 11946,15453,1625,1099,2381,10.5,7.1,15.4
ZCTA5 11947,486,3,44,86,0.6,9.1,17.7
ZCTA5 11948,710,14,10,90,2.0,1.4,12.7
ZCTA5 11949,13760,875,1102,2463,6.4,8.0,17.9
ZCTA5 11950,16444,2576,854,2124,15.7,5.2,12.9
ZCTA5 11951,13015,1538,1129,2136,11.8,8.7,16.4
ZCTA5 11952,5010,445,517,766,8.9,10.3,15.3
ZCTA5 11953,13645,1421,1089,1719,10.4,8.0,12.6
ZCTA5 11954,3685,288,320,480,7.8,8.7,13.0
ZCTA5 11955,3748,578,288,493,15.4,7.7,13.2
ZCTA5 11956,250,24,16,34,9.6,6.4,13.6
ZCTA5 11957,835,37,93,57,4.4,11.1,6.8
ZCTA5 11958,768,66,56,90,8.6,7.3,11.7
ZCTA5 11959,545,29,20,110,5.3,3.7,20.2
ZCTA5 11960,706,29,66,70,4.1,9.3,9.9
ZCTA5 11961,12902,1470,937,1370,11.4,7.3,10.6
ZCTA5 11962,324,12,34,18,3.7,10.5,5.6
ZCTA5 11963,7161,424,498,1227,5.9,7.0,17.1
ZCTA5 11964,2413,220,43,320,9.1,1.8,13.3
ZCTA5 11965,380,0,28,0,0.0,7.4,0.0
ZCTA5 11967,27854,4313,2500,3391,15.5,9.0,12.2
ZCTA5 11968,10517,1041,917,1570,9.9,8.7,14.9
ZCTA5 11970,212,31,65,33,14.6,30.7,15.6
ZCTA5 11971,6026,410,539,794,6.8,8.9,13.2
ZCTA5 11972,1096,193,73,286,17.6,6.7,26.1
ZCTA5 11973,40,2,0,2,5.0,0.0,5.0
ZCTA5 11975,272,6,39,10,2.2,14.3,3.7
ZCTA5 11976,1679,160,166,341,9.5,9.9,20.3
ZCTA5 11977,2176,63,275,261,2.9,12.6,12.0
ZCTA5 11978,3086,316,274,526,10.2,8.9,17.0
ZCTA5 11980,5865,1053,506,916,18.0,8.6,15.6
ZCTA5 12007,9,0,0,0,0.0,0.0,0.0
ZCTA5 12008,668,15,42,161,2.2,6.3,24.1
ZCTA5 12009,7900,724,604,1070,9.2,7.6,13.5
ZCTA5 12010,28152,3827,2283,3491,13.6,8.1,12.4
ZCTA5 12015,3026,350,285,423,11.6,9.4,14.0
ZCTA5 12017,403,45,17,77,11.2,4.2,19.1
ZCTA5 12018,7226,734,699,1289,10.2,9.7,17.8
ZCTA5 12019,14456,1261,1154,2201,8.7,8.0,15.2
ZCTA5 12020,33563,3610,2545,5475,10.8,7.6,16.3
ZCTA5 12022,612,76,27,62,12.4,4.4,10.1
ZCTA5 12023,2187,200,125,378,9.1,5.7,17.3
ZCTA5 12024,0,0,0,0,,,
ZCTA5 12025,5388,648,622,876,12.0,11.5,16.3
ZCTA5 12027,3887,261,253,655,6.7,6.5,16.9
ZCTA5 12028,849,55,63,176,6.5,7.4,20.7
ZCTA5 12029,1156,118,120,90,10.2,10.4,7.8
ZCTA5 12031,195,32,3,24,16.4,1.5,12.3
ZCTA5 12032,858,68,68,105,7.9,7.9,12.2
ZCTA5 12033,7906,820,783,1287,10.4,9.9,16.3
ZCTA5 12035,722,22,29,70,3.0,4.0,9.7
ZCTA5 12036,295,57,16,25,19.3,5.4,8.5
ZCTA5 12037,4257,409,254,822,9.6,6.0,19.3
ZCTA5 12040,137,3,0,0,2.2,0.0,0.0
ZCTA5 12041,571,60,56,101,10.5,9.8,17.7
ZCTA5 12042,225,16,37,45,7.1,16.4,20.0
ZCTA5 12043,8129,884,557,830,10.9,6.9,10.2
ZCTA5 12045,506,76,62,31,15.0,12.3,6.1
ZCTA5 12046,1102,87,92,119,7.9,8.3,10.8
ZCTA5 12047,21355,3456,1259,2492,16.2,5.9,11.7
ZCTA5 12051,6383,1073,477,763,16.8,7.5,12.0
ZCTA5 12052,1611,184,113,281,11.4,7.0,17.4
ZCTA5 12053,4527,493,362,813,10.9,8.0,18.0
ZCTA5 12054,16940,1425,1410,2463,8.4,8.3,14.5
ZCTA5 12056,2847,287,141,440,10.1,5.0,15.5
ZCTA5 12057,1942,144,322,257,7.4,16.6,13.2
ZCTA5 12058,1394,50,111,258,3.6,8.0,18.5
ZCTA5 12059,1682,130,182,352,7.7,10.8,20.9
ZCTA5 12060,1414,101,130,226,7.1,9.2,16.0
ZCTA5 12061,9656,1183,892,1196,12.3,9.2,12.4
ZCTA5 12062,1546,263,114,237,17.0,7.4,15.3
ZCTA5 12063,524,90,42,10,17.2,8.0,1.9
ZCTA5 12064,341,41,61,33,12.0,17.9,9.7
ZCTA5 12065,42701,5574,3253,6467,13.1,7.6,15.1
ZCTA5 12066,1623,176,282,225,10.8,17.4,13.9
ZCTA5 12067,1519,200,103,173,13.2,6.8,11.4
ZCTA5 12068,3238,223,221,488,6.9,6.8,15.1
ZCTA5 12069,203,0,17,0,0.0,8.4,0.0
ZCTA5 12070,1669,84,138,254,5.0,8.3,15.2
ZCTA5 12071,346,39,5,44,11.3,1.4,12.7
ZCTA5 12072,3097,343,113,398,11.1,3.6,12.9
ZCTA5 12074,3046,307,226,384,10.1,7.4,12.6
ZCTA5 12075,2959,59,141,412,2.0,4.8,13.9
ZCTA5 12076,1308,70,155,243,5.4,11.9,18.6
ZCTA5 12077,6745,620,512,1093,9.2,7.6,16.2
ZCTA5 12078,23419,2613,1574,3557,11.2,6.7,15.2
ZCTA5 12083,3939,377,354,485,9.6,9.0,12.3
ZCTA5 12084,5005,936,235,549,18.7,4.7,11.0
ZCTA5 12085,424,25,14,0,5.9,3.3,0.0
ZCTA5 12086,1453,146,148,180,10.0,10.2,12.4
ZCTA5 12087,1109,175,109,191,15.8,9.8,17.2
ZCTA5 12089,64,0,0,28,0.0,0.0,43.8
ZCTA5 12090,6350,552,462,969,8.7,7.3,15.3
ZCTA5 12092,752,94,50,76,12.5,6.6,10.1
ZCTA5 12093,1545,127,133,248,8.2,8.6,16.1
ZCTA5 12094,2398,308,237,161,12.8,9.9,6.7
ZCTA5 12095,12046,1708,772,1539,14.2,6.4,12.8
ZCTA5 12106,2333,218,172,322,9.3,7.4,13.8
ZCTA5 12108,393,36,12,8,9.2,3.1,2.0
ZCTA5 12110,21665,2202,1405,3091,10.2,6.5,14.3
ZCTA5 12115,61,0,0,18,0.0,0.0,29.5
ZCTA5 12116,1712,152,115,227,8.9,6.7,13.3
ZCTA5 12117,3133,318,335,503,10.2,10.7,16.1
ZCTA5 12118,15508,2239,1076,2006,14.4,6.9,12.9
ZCTA5 12120,683,75,64,138,11.0,9.4,20.2
ZCTA5 12121,1972,125,154,287,6.3,7.8,14.6
ZCTA5 12122,4170,531,388,580,12.7,9.3,13.9
ZCTA5 12123,5398,722,434,779,13.4,8.0,14.4
ZCTA5 12124,711,76,25,208,10.7,3.5,29.3
ZCTA5 12125,1483,272,167,180,18.3,11.3,12.1
ZCTA5 12130,720,0,57,187,0.0,7.9,26.0
ZCTA5 12131,91,14,5,15,15.4,5.5,16.5
ZCTA5 12132,297,25,24,10,8.4,8.1,3.4
ZCTA5 12134,4059,349,502,514,8.6,12.4,12.7
ZCTA5 12136,732,60,97,42,8.2,13.3,5.7
ZCTA5 12137,1764,240,149,411,13.6,8.4,23.3
ZCTA5 12138,3218,316,260,564,9.8,8.1,17.5
ZCTA5 12139,146,0,9,20,0.0,6.2,13.7
ZCTA5 12140,1690,89,142,313,5.3,8.4,18.5
ZCTA5 12143,4728,509,307,607,10.8,6.5,12.8
ZCTA5 12144,20205,3190,1358,2819,15.8,6.7,14.0
ZCTA5 12147,487,21,20,57,4.3,4.1,11.7
ZCTA5 12148,4333,295,348,786,6.8,8.0,18.1
ZCTA5 12149,2423,226,284,331,9.3,11.7,13.7
ZCTA5 12150,916,113,42,146,12.3,4.6,15.9
ZCTA5 12151,911,166,103,171,18.2,11.3,18.8
ZCTA5 12153,993,181,78,176,18.2,7.9,17.7
ZCTA5 12154,2901,389,292,516,13.4,10.1,17.8
ZCTA5 12155,2119,207,186,369,9.8,8.8,17.4
ZCTA5 12156,1053,52,99,146,4.9,9.4,13.9
ZCTA5 12157,4417,373,440,733,8.4,10.0,16.6
ZCTA5 12158,6945,697,559,948,10.0,8.0,13.7
ZCTA5 12159,7870,496,597,1072,6.3,7.6,13.6
ZCTA5 12160,962,139,88,117,14.4,9.1,12.2
ZCTA5 12161,191,130,13,15,68.1,6.8,7.9
ZCTA5 12164,387,8,70,25,2.1,18.1,6.5
ZCTA5 12165,161,10,10,8,6.2,6.2,5.0
ZCTA5 12166,1148,136,78,169,11.8,6.8,14.7
ZCTA5 12167,2678,347,225,373,13.0,8.4,13.9
ZCTA5 12168,2033,125,189,353,6.1,9.3,17.4
ZCTA5 12169,252,28,20,38,11.1,7.9,15.1
ZCTA5 12170,4958,509,487,939,10.3,9.8,18.9
ZCTA5 12172,296,0,5,58,0.0,1.7,19.6
ZCTA5 12173,1999,264,126,342,13.2,6.3,17.1
ZCTA5 12174,375,48,54,22,12.8,14.4,5.9
ZCTA5 12175,528,48,24,69,9.1,4.5,13.1
ZCTA5 12176,451,31,42,184,6.9,9.3,40.8
ZCTA5 12177,281,0,37,90,0.0,13.2,32.0
ZCTA5 12180,53464,9378,3324,6036,17.5,6.2,11.3
ZCTA5 12182,14432,2281,954,1591,15.8,6.6,11.0
ZCTA5 12183,2592,263,174,408,10.1,6.7,15.7
ZCTA5 12184,6840,744,441,796,10.9,6.4,11.6
ZCTA5 12185,2006,375,65,298,18.7,3.2,14.9
ZCTA5 12186,6193,543,557,810,8.8,9.0,13.1
ZCTA5 12187,513,82,29,71,16.0,5.7,13.8
ZCTA5 12188,11415,1708,900,1663,15.0,7.9,14.6
ZCTA5 12189,17290,2780,1091,2295,16.1,6.3,13.3
ZCTA5 12190,821,51,73,219,6.2,8.9,26.7
ZCTA5 12192,1867,66,272,233,3.5,14.6,12.5
ZCTA5 12193,1855,188,235,310,10.1,12.7,16.7
ZCTA5 12194,156,24,12,16,15.4,7.7,10.3
ZCTA5 12195,113,0,7,54,0.0,6.2,47.8
ZCTA5 12196,3522,329,183,408,9.3,5.2,11.6
ZCTA5 12197,1880,195,123,273,10.4,6.5,14.5
ZCTA5 12198,7871,609,598,1534,7.7,7.6,19.5
ZCTA5 12202,8342,1414,497,1065,17.0,6.0,12.8
ZCTA5 12203,30010,4342,1915,3197,14.5,6.4,10.7
ZCTA5 12204,8318,1679,441,784,20.2,5.3,9.4
ZCTA5 12205,26941,3620,1931,3631,13.4,7.2,13.5
ZCTA5 12206,16480,2673,776,1720,16.2,4.7,10.4
ZCTA5 12207,2202,431,182,177,19.6,8.3,8.0
ZCTA5 12208,21666,3699,1393,2145,17.1,6.4,9.9
ZCTA5 12209,9978,1513,535,1287,15.2,5.4,12.9
ZCTA5 12210,9583,2292,374,1274,23.9,3.9,13.3
ZCTA5 12211,10990,807,1038,1633,7.3,9.4,14.9
ZCTA5 12222,6198,16,0,0,0.3,0.0,0.0
ZCTA5 12302,27377,3142,2203,3158,11.5,8.0,11.5
ZCTA5 12303,28488,3835,1979,3910,13.5,6.9,13.7
ZCTA5 12304,22230,3093,1565,2664,13.9,7.0,12.0
ZCTA5 12305,5519,1094,449,818,19.8,8.1,14.8
ZCTA5 12306,26799,3218,1933,4120,12.0,7.2,15.4
ZCTA5 12307,7031,1130,266,916,16.1,3.8,13.0
ZCTA5 12308,14699,2358,818,1561,16.0,5.6,10.6
ZCTA5 12309,30007,2631,2145,4155,8.8,7.1,13.8
ZCTA5 12401,35192,5412,2432,4797,15.4,6.9,13.6
ZCTA5 12404,3334,425,283,489,12.7,8.5,14.7
ZCTA5 12405,633,24,77,128,3.8,12.2,20.2
ZCTA5 12406,947,113,49,142,11.9,5.2,15.0
ZCTA5 12407,165,34,15,27,20.6,9.1,16.4
ZCTA5 12409,703,73,61,73,10.4,8.7,10.4
ZCTA5 12410,370,13,72,29,3.5,19.5,7.8
ZCTA5 12411,353,60,41,94,17.0,11.6,26.6
ZCTA5 12412,473,49,28,98,10.4,5.9,20.7
ZCTA5 12413,2813,341,221,472,12.1,7.9,16.8
ZCTA5 12414,9979,1437,429,1312,14.4,4.3,13.1
ZCTA5 12416,341,0,9,0,0.0,2.6,0.0
ZCTA5 12417,421,23,28,63,5.5,6.7,15.0
ZCTA5 12418,567,62,0,115,10.9,0.0,20.3
ZCTA5 12419,624,112,18,51,17.9,2.9,8.2
ZCTA5 12420,242,89,8,21,36.8,3.3,8.7
ZCTA5 12421,236,40,37,32,16.9,15.7,13.6
ZCTA5 12422,353,10,43,46,2.8,12.2,13.0
ZCTA5 12423,1050,109,79,170,10.4,7.5,16.2
ZCTA5 12424,239,0,32,60,0.0,13.4,25.1
ZCTA5 12427,600,18,26,114,3.0,4.3,19.0
ZCTA5 12428,6885,773,570,1095,11.2,8.3,15.9
ZCTA5 12429,324,22,86,16,6.8,26.5,4.9
ZCTA5 12430,1119,87,87,139,7.8,7.8,12.4
ZCTA5 12431,1120,131,111,114,11.7,9.9,10.2
ZCTA5 12432,225,0,23,56,0.0,10.2,24.9
ZCTA5 12433,579,17,8,19,2.9,1.4,3.3
ZCTA5 12434,842,153,60,98,18.2,7.1,11.6
ZCTA5 12435,250,33,15,15,13.2,6.0,6.0
ZCTA5 12436,94,0,0,0,0.0,0.0,0.0
ZCTA5 12438,31,0,0,0,0.0,0.0,0.0
ZCTA5 12439,348,40,21,89,11.5,6.0,25.6
ZCTA5 12440,1997,224,270,409,11.2,13.5,20.5
ZCTA5 12441,83,0,17,0,0.0,20.5,0.0
ZCTA5 12442,675,16,60,131,2.4,8.9,19.4
ZCTA5 12443,3317,233,333,493,7.0,10.0,14.9
ZCTA5 12444,567,145,54,56,25.6,9.5,9.9
ZCTA5 12446,5063,744,266,594,14.7,5.3,11.7
ZCTA5 12448,413,30,59,28,7.3,14.3,6.8
ZCTA5 12449,3436,508,220,515,14.8,6.4,15.0
ZCTA5 12450,181,13,0,0,7.2,0.0,0.0
ZCTA5 12451,1531,363,120,180,23.7,7.8,11.8
ZCTA5 12452,275,53,14,49,19.3,5.1,17.8
ZCTA5 12453,222,93,0,0,41.9,0.0,0.0
ZCTA5 12454,366,65,55,34,17.8,15.0,9.3
ZCTA5 12455,1755,178,163,259,10.1,9.3,14.8
ZCTA5 12456,1123,174,15,109,15.5,1.3,9.7
ZCTA5 12457,1070,53,35,122,5.0,3.3,11.4
ZCTA5 12458,2778,314,260,451,11.3,9.4,16.2
ZCTA5 12459,213,0,20,28,0.0,9.4,13.1
ZCTA5 12460,416,13,23,55,3.1,5.5,13.2
ZCTA5 12461,1654,103,91,177,6.2,5.5,10.7
ZCTA5 12463,1895,217,222,246,11.5,11.7,13.0
ZCTA5 12464,792,73,137,123,9.2,17.3,15.5
ZCTA5 12465,206,18,27,18,8.7,13.1,8.7
ZCTA5 12466,2241,349,257,218,15.6,11.5,9.7
ZCTA5 12468,998,58,101,132,5.8,10.1,13.2
ZCTA5 12469,607,69,68,101,11.4,11.2,16.6
ZCTA5 12470,512,45,0,74,8.8,0.0,14.5
ZCTA5 12471,281,42,37,34,14.9,13.2,12.1
ZCTA5 12472,1464,226,176,209,15.4,12.0,14.3
ZCTA5 12473,726,125,17,140,17.2,2.3,19.3
ZCTA5 12474,1035,88,90,176,8.5,8.7,17.0
ZCTA5 12475,339,9,0,64,2.7,0.0,18.9
