ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 36523,2809,241,327,361,8.6,11.6,12.9
ZCTA5 36524,1328,128,75,126,9.6,5.6,9.5
ZCTA5 36525,1914,253,139,217,13.2,7.3,11.3
ZCTA5 36526,34565,5071,2265,4034,14.7,6.6,11.7
ZCTA5 36527,15517,1544,1085,2541,10.0,7.0,16.4
ZCTA5 36528,1324,85,163,141,6.4,12.3,10.6
ZCTA5 36529,209,6,35,7,2.9,16.7,3.3
ZCTA5 36530,6363,525,533,866,8.3,8.4,13.6
ZCTA5 36532,35066,3375,2060,4626,9.6,5.9,13.2
ZCTA5 36535,33065,4332,2540,4179,13.1,7.7,12.6
ZCTA5 36538,377,0,0,71,0.0,0.0,18.8
ZCTA5 36539,688,25,47,87,3.6,6.8,12.6
ZCTA5 36540,628,108,40,126,17.2,6.4,20.1
ZCTA5 36541,15524,2172,1064,1803,14.0,6.9,11.6
ZCTA5 36542,14045,1178,1286,2651,8.4,9.2,18.9
ZCTA5 36543,137,24,0,0,17.5,0.0,0.0
ZCTA5 36544,11682,1294,1118,1731,11.1,9.6,14.8
ZCTA5 36545,9743,797,740,1311,8.2,7.6,13.5
ZCTA5 36548,998,121,56,208,12.1,5.6,20.8
ZCTA5 36549,5687,373,423,680,6.6,7.4,12.0
ZCTA5 36550,179,66,0,0,36.9,0.0,0.0
ZCTA5 36551,9573,1384,677,1249,14.5,7.1,13.0
ZCTA5 36553,2721,105,164,599,3.9,6.0,22.0
ZCTA5 36555,806,97,43,129,12.0,5.3,16.0
ZCTA5 36556,571,81,53,18,14.2,9.3,3.2
ZCTA5 36558,3677,242,214,546,6.6,5.8,14.8
ZCTA5 36559,213,0,18,0,0.0,8.5,0.0
ZCTA5 36560,3243,469,276,437,14.5,8.5,13.5
ZCTA5 36561,6843,496,608,913,7.2,8.9,13.3
ZCTA5 36562,1362,166,137,172,12.2,10.1,12.6
ZCTA5 36564,153,0,0,0,0.0,0.0,0.0
